TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
f_f000354,합천HC호텔,1,2,Y,,,1,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-20 15:01,3,50000,합천 H.C. HOTEL
f_f000355,비치블루애견펜션,1,3,Y,,,1,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-30 00:00,3,45000,거제도 비치블루애견펜션
f_f000356,캠코생활관,0,7,Y,,,3,,,부산 수영구 장대골로 45,부산 수영구 광안동 552-1,,,,5,40000,
f_f000357,스카이베이호텔 경포,1,1,Y,,,1,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-13 10:05,3,82000,스카이베이 호텔 경포
f_f000366,경주사리풀빌라,0,11,Y,,,4,,,경북 경주시 사리1길 22-29,경북 경주시 평동 산 13-1,,,,4,450000,
f_f000369,설악산국립공원 설악동야영장,0,5,Y,,,4,,,강원 속초시 청봉로 25,강원 속초시 설악동 산 82,,,,5,160000,
f_f000370,통영거북선호텔,0,1,Y,,,3,,,경남 통영시 미수해안로 72,경남 통영시 미수동 957-2,,,,4,0,
f_f000371,하운드 가든&테라스호텔,0,1,Y,,,2,,,부산 해운대구 구남로12번길 55,부산 해운대구 우동 637-13,,,,1,119448,
f_f000373,휴토피아,0,5,Y,,,2,,,강원 홍천군 서면 팔봉산로 976,강원 홍천군 서면 어유포리 282-6,,,,1,158000,
f_f000376,광안지웰에스테이트오피스텔,0,11,Y,,,2,,,부산 수영구 광안해변로 165,부산 수영구 광안동 201-5,,,,1,151000,
f_f000376,파라다이스호텔부산,0,1,Y,,,2,,,부산 해운대구 해운대해변로 296,부산 해운대구 중동 1411-1,,,,1,420000,
f_f000380,베이몬드호텔,0,1,Y,,,2,,,부산 해운대구 해운대해변로209번가길 27,부산 해운대구 우동 648-8,,,,2,104500,
f_f000381,KT&G상상마당 부산,1,7,Y,,,1,,아고다,,,,,2023-05-21 00:00,1,36397,SANGSANG STAY BUSAN
f_f000387,어보브블루풀빌라,1,3,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-04-23 01:46,1,180230,포항 어보브블루펜션
f_f000392,소백산자락길방문자센터,0,7,Y,,,4,,,경북 영주시 단산면 영단로 530-15,경북 영주시 단산면 좌석리 89-2,,,,5,96000,
f_f000392,풍기관광호텔,0,1,Y,,,4,,,경북 영주시 풍기읍 풍기로 53,경북 영주시 풍기읍 성내리 51-15,,,,1,100000,
f_f000393,불국사한옥팜스테이,1,5,Y,,,2,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-04-12 16:54,1,290000,경주 불국사 한옥팜스테이
f_f000394,포르투나호텔,0,1,Y,,,2,,,경남 통영시 미수해안로 152,경남 통영시 봉평동 446-2,,,,5,100000,
f_f000398,더하운드호텔,0,1,Y,,,2,,,부산 중구 대청로126번길 9,부산 중구 동광동3가 31-1,,,,1,103000,
f_f000399,속초휘테,1,7,Y,,,1,,속초휘테,강원특별자치도 속초시 장안로1길 17-5,강원특별자치도 속초시 동명동 261-33,4469194,5121010200,2023-05-02 16:07,1,76000,여성전용 도미토리룸
f_f000400,낙산해변,0,5,N,,,1,,,,강원 양양군 강현면 전진리,,,,4,0,
f_f000405,영일대게스트하우스,1,7,Y,,,2,,영일대게스트하우스,경북 포항시 북구 삼호로 73,경북 포항시 북구 대신동 62-1,3304014,4711310900,2023-03-31 13:42,1,78000,숙박비
f_f000407,케이스부띠크호텔 영주점,1,1,Y,,,1,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-04-23 00:24,1,42727,MO-영주케이스부띠끄-S
f_f000407,케이스부띠크호텔 영주점,2,1,Y,,,1,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-04-22 00:00,3,0,MO영주케이스부띠끄 S
f_f000409,속초IPARK스위트,1,1,Y,,,1,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-03 06:58,1,29900,속초 아이파크 스위트 호텔
f_f000411,소노캄델피노 AB동,1,4,Y,,,2,,소노호텔앤리조트,강원 고성군 토성면 미시령옛길 1153,,4502407,4282033033,2023-05-16 12:06,1,22000,숙박비
f_f000412,나무애,2,7,Y,,,2,,에어비앤비,,,,,2023-04-30 11:21,1,115530,숙박비
f_f000413,한화리조트 해운대,0,4,Y,,,2,,,부산 해운대구 마린시티3로 52,부산 해운대구 우동 1410-3,,,,4,100000,
f_f000417,롯데리조트 속초,1,4,Y,,,8,,롯데리조트,강원특별자치도 속초시 대포항길 186,,4469021,5121011000,2023-06-06 00:00,1,423000,
f_f000419,씨크루즈호텔속초,1,1,Y,,,1,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-14 00:00,1,76700,씨크루즈호텔 속초
f_f000422,그랜드파크아파트,1,11,Y,,,4,,에어비앤비,,,,,2023-03-28 20:10,1,245394,숙박비
f_f000422,인벤션빌 (에어비앤비),1,11,Y,,,4,,,,,,,2023-04-19 19:45,3,220000,숙박비
f_f000423,아침고요키즈풀빌라펜션,0,3,Y,,,8,,,경남 거제시 장목면 옥포대첩로 774-1,경남 거제시 장목면 외포리 1222-3,,,,1,1531145,
f_f000424,속초세관 설악관,0,11,Y,,,4,,,강원 속초시 청초호반로 173,강원 속초시 교동 670-51,,,,5,100000,
f_f000428,세상의모든아침펜션,1,3,Y,,,3,,HOMES&VILLAS,경북 울진군 기성면 망양1길 34,경북 울진군 기성면 망양리 84-1,4775095,4793035024,2023-05-15 00:00,1,250162,숙박비
f_f000430,다락방 게스트하우스,0,7,Y,,,1,,,전남 구례군 마산면 황전5길 19,전남 구례군 마산면 황전리 419,,,,4,36000,
f_f000430,다락방친구들 게스트하우스,1,7,Y,,,1,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-27 09:43,3,36000,4인남성도미토리 
f_f000430,다락방친구들 게스트하우스,2,7,Y,,,1,,통영 다락방 게스트하우스,경남 통영시 항남2길 15-10,경남 통영시 항남동 189-1,4799486,4822010400,2023-05-24 00:00,1,0,(연박할인)4인남성노미토리
f_f000430,동빈나루게스트하우스,1,7,Y,,,1,,포항동빈나루,경북 포항시 북구 불종로 81,경북 포항시 북구 여천동 73-3,3304013,4711310500,2023-04-21 08:49,3,30000,
f_f000430,동빈나루게스트하우스,2,7,Y,,,1,,포항 동빈나루 게스트하우스,경북 포항시 북구 해동로 211-1,경북 포항시 북구 동빈2가 144-8,3303058,4711311100,2023-05-27 00:00,1,0,코로나안심_도미토리룸
f_f000430,맨하탄모텔,1,2,Y,,,1,,(주)야놀자,서울 강남구 테헤란로 427,서울 강남구 삼성동 143-40,3122010,1168010500,2023-05-12 16:37,1,24000,거제도 고현 맨하탄
f_f000430,맨하탄모텔,2,2,Y,,,1,,거제도 고현 맨하탄,경남 거제시 거제중앙로27길 13-2,경남 거제시 고현동 961-98,4811035,4831010900,2023-05-12 16:36,1,30000,숙박비
f_f000432,롯데리조트 속초,1,4,Y,,,3,,롯데리조트속초,강원 속초시 대포항길 186,,4469021,4221011000,2023-05-23 15:12,1,846400,숙박비
f_f000440,거창시,0,5,N,,,3,,,원학길485,,,,,4,0,
f_f000440,숙소,0,5,N,,,3,,,원학길 485 사마솔숲,,,,,4,0,
f_f000442,경주 하녹풀빌라,0,3,Y,,,3,,,경북 경주시 내남로 517,경북 경주시 율동 1900,,,,1,440000,
f_f000442,푸른산유스텔,0,7,Y,,,3,,,경북 경주시 불국신택지5길 22,경북 경주시 진현동 611-120,,,,1,168952,
f_f000445,더다온,0,7,Y,,,1,,,강원 강릉시 율곡로 2886,강원 강릉시 교동 183-200,,,,5,90000,
f_f000445,스카이베이호텔 경포,0,1,Y,,,1,,,강원 강릉시 해안로 476,강원 강릉시 강문동 258-4,,,,4,0,
f_f000446,마운틴87,1,5,Y,,,2,,마운틴87 캠핑장,강원특별자치도 홍천군 북방면 도사곡길 260,강원특별자치도 홍천군 북방면 소매곡리 312-9,4475182,5172038036,2023-05-26 00:00,1,140000,숙박비
f_f000447,망경대산자연휴양림,1,9,Y,,,4,,영월군시설관리공단,강원특별자치도 영월군 영월읍 제방안길 100,강원특별자치도 영월군 영월읍 하송리 56,4481211,5175025022,2023-04-01 22:57,1,70000,숲항기 4동
f_f000447,망경대산자연휴양림,3,9,Y,,,4,,망경대산자연휴양림,강원특별자치도 영월군 산솔면 선도우길 177,강원특별자치도 영월군 산솔면 연상리 산 118,4481135,5175031225,2023-04-01 09:02,1,70000,숲향기4동(4인실)1박 
f_f000447,망경대산자연휴양림,4,9,Y,,,4,,망경대산자연휴양림,강원특별자치도 영월군 산솔면 선도우길 177,강원특별자치도 영월군 산솔면 연상리 산 118,4481135,5175031225,2023-04-01 09:35,1,70000,숙박비
f_f000448,어반스테이 속초해변,0,11,Y,,,2,,,강원 속초시 해오름로 195,강원 속초시 조양동 1450-6,,,,4,330000,
f_f000452,KT&G상상마당 춘천스테이호텔,1,1,Y,,,3,,KT&G상상마당 춘천스테이,강원특별자치도 춘천시 스포츠타운길399번길 22,강원특별자치도 춘천시 삼천동 217,4454446,5111012500,2023-05-28 00:00,1,186000,숙박비 
f_f000453,엘림게스트하우스 인 속초,0,7,Y,,,1,,,강원 속초시 미리내길 17-1,강원 속초시 청호동 1354-2,,,,1,49000,
f_f000456,마산관광호텔,1,1,Y,,,4,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-04-04 19:40,1,240000,마산관광호텔
f_f000459,동강솔펜션,1,3,Y,,,4,,동강솔펜션,강원 영월군 영월읍 동강로 261,,3227008,4275025025,2023-05-26 00:00,1,90000,숙박비
f_f000460,카우치 포테이토,0,6,Y,,,4,,,611-70,,,,,5,397191,
f_f000463,국립산림치유원 문필마을 MB101,0,9,Y,,,5,,,경북 예천군 효자면 은풍로 1088-119,,,,,5,50000,
f_f000463,국립산림치유원 문필마을식당,0,9,Y,,,5,,,경북 예천군 효자면 은풍로 1088-119,경북 예천군 효자면 고항리 1345,,,,4,0,
f_f000464,스카이베이호텔 경포,1,1,Y,,,1,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-13 10:00,3,89000,스카이베이 호텔 경포
f_f000464,썬리치펜션,1,3,Y,,,1,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-02 12:57,1,115000,강릉 썬리치펜션
f_f000467,레고랜드코리아리조트 레고랜드호텔,1,1,Y,,,3,,레고랜드코리아리조트,강원 춘천시 하중도길 128,강원 춘천시 중도동 603,4454745,4211012900,2023-05-19 00:00,1,365959,숙박비
f_f000467,하이맘블랙,2,3,Y,,,3,,가평 하이맘 키즈 펜션 블랙,경기 가평군 청평면 고재길 248,경기 가평군 청평면 고성리 105,4448013,4182032526,2023-05-20 00:00,1,107100,숙박비
f_f000474,오션라운지,1,3,Y,,,2,,남해 오션라운지펜션,경남 남해군 남면 남면로1031번길 48,경남 남해군 남면 선구리 658-7,4829045,4884035024,2023-06-03 00:00,1,0,숙박비
f_f000476,더더블유무인호텔,1,2,Y,,,2,,(주)티몬,서울 강남구 테헤란로83길 49,서울 강남구 삼성동 152-69,4166762,1168010500,2023-04-17 00:00,1,45000,숙박비
f_f000476,더더블유무인호텔,2,2,Y,,,2,,주식회사 온다,서울 강남구 테헤란로83길 49,서울 강남구 삼성동 152-69,4166762,1168010500,2023-06-01 00:00,1,30000,숙박비
f_f000476,온천호텔사우나,1,2,Y,,,2,,주식회사 온다,서울 강남구 테헤란로83길 49,서울 강남구 삼성동 152-69,4166762,1168010500,2023-06-02 00:00,1,40000,숙박비
f_f000479,달꿈호텔,1,1,Y,,,4,,홍천 달꿈호텔,강원 홍천군 홍천읍 공작산로 93,강원 홍천군 홍천읍 갈마곡리 135,3225003,4272025024,2023-05-27 03:01,1,116000,숙박비
f_f000481,한덕교,0,5,N,,,2,,,,,,,,4,0,
f_f000486,르브아,0,3,Y,,,2,,,경북 포항시 남구 구룡포읍 하정로30번길 31,경북 포항시 남구 구룡포읍 하정리 186,,,,1,100000,
f_f000495,VIP호텔,0,2,Y,,,2,,,울산 동구 해수욕장2길 69,,,,,1,70000,
f_f000497,쏘타 컬렉션 더 테라스,1,11,Y,,,1,,주식회사 타이드스퀘어투어비스,서울 중구 서소문로 106,서울 중구 서소문동 58-7,3005010,1114016600,2023-05-14 00:00,1,96120,[최대30만원할인]쏘타컬렉션 더 테라스
f_f000499,솔방울펜션캠핑장,1,5,Y,,,2,,주식회사 야놀자클라우드코리아,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-01 11:28,1,40000,파쇄석 사이트-10
f_f000502,노블스테이호텔,1,1,Y,,,2,,아고다,,,,,2023-05-10 00:00,1,100000,NOBLESTAY HOTEL
f_f000502,에어비앤비 숙소,1,11,Y,,,2,,에어비앤비,,,,,2023-05-11 02:27,1,176760,숙박비
f_f000505,레인보우 펜션,0,3,Y,,,1,,,강원도 동해시 일출로 243-7,,,,,1,65000,
f_f000505,어달빛 스테이,1,3,Y,,,1,,레인보우펜션,강원 동해시 일출로 243-7,강원 동해시 어달동 28,3221030,4217012700,2023-04-30 10:24,1,65000,숙박비
f_f000509,광안KCC스위첸하버뷰,0,10,N,,,1,,,부산 수영구 민락수변로 49,부산 수영구 민락동 181-79,,,,4,0,
f_f000523,앨리게스트하우스,0,7,Y,,,1,,,201,,,,,5,40000,
f_f000531,토요코인호텔 부산해운대2호점,1,1,Y,,,1,,토요코인부산해운대,부산 해운대구 해운대해변로237번길 5,부산 해운대구 우동 648-2,4199298,2635010500,2023-05-26 19:50,1,148200,
f_f000540,뉴그랜드호텔,1,1,Y,,,3,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-02 15:40,1,169000,진주 뉴그랜드호텔
f_f000540,뉴그랜드호텔,2,1,Y,,,3,,뉴그랜드호텔,경남 진주시 에나로 97,경남 진주시 충무공동 40-8,3350069,4817013700,2023-05-27 22:16,1,20000,숙박비
