TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,latitude,longitude
f_f001620,2305310002,1,0,0,1,5,2258502429.0,(주)강원랜드,강원특별자치도 정선군 고한읍 하이원길 424,강원특별자치도 정선군 고한읍 고한리 산 1-239,4487360.0,5177025321.0,2023-05-31 14:06,1,23000.0,짬뽕라면 세트;치킨너겟세트,,0.0,0.0
f_f000531,2305270002,2,0,0,1,1,4571800889.0,봉향각,부산 기장군 기장읍 용궁길 86,부산 기장군 기장읍 시랑리 416-3,4220172.0,2671025033.0,2023-05-27 10:18,1,24000.0,연꽃링차걸이;악세사리 1만,,0.0,0.0
f_f002473,2306070004,1,0,0,0,2,,이풍녀구로쌈밥,,,,,,1,26000.0,,4713011000.0,46.3144754,11.0480288
f_f002475,2306100004,3,0,0,1,4,2268123545.0,참소리축음기에디슨박물관,강원특별자치도 강릉시 경포로 393,강원특별자치도 강릉시 저동 36,3220002.0,5115013700.0,2023-06-10 13:37,1,28000.0,,,37.80453,128.88806
f_f013861,2308290008,1,0,0,0,4,,리마마,543,,,,,1,45000.0,,2614010300.0,46.3144754,11.0480288
f_f001626,2306040003,3,0,0,1,2,,속초아이 대관람차,강원특별자치도 속초시 청호해안길 2,강원특별자치도 속초시 조양동 1450-143,4469283.0,5121010800.0,2023-06-04 00:00,1,6000.0,속초아이대관람차+앙젤루스 대인권,,38.18382,128.58239
f_f000802,2305270005,1,0,0,1,3,,한화호텔앤리조트(주),경남 거제시 장목면 거제북로 2501-40,경남 거제시 장목면 농소리 25,3337004.0,4831039023.0,2023-05-27 11:14,1,12000.0,카페라떼,,0.0,0.0
f_f000625,2305220001,1,1,1,1,1,7021001685.0,모시울,세종특별자치시 조치원읍 장안로 74,세종특별자치시 조치원읍 남리 400,3258046.0,3611025027.0,2023-05-22 14:19,1,18000.0,인절미크로플;아메리카노(ICE);모시울;인절미크림라떼(ICE),,36.592940999999996,127.29243517872771
f_f000540,2305290003,2,1,1,1,3,6566400197.0,진주운석빵,경남 진주시 남강로 627,경남 진주시 본성동 18-10,3332011.0,4817010500.0,2023-05-29 14:25,1,18000.0,운석빵1박스,,35.1907279,128.0826052
f_f001817,2305270005,3,1,1,1,4,6088301320.0,함안군청,경남 함안군 산인면 입곡공원길 240,경남 함안군 산인면 입곡리 산 137-5,4820454.0,4873038021.0,2023-05-27 16:00,1,18000.0,싸이클1인,,0.0,0.0
f_f007133,2308210002,1,0,0,4,3,2278118711.0,만석닭강정,강원특별자치도 속초시 중앙로147번길 16,강원특별자치도 속초시 중앙동 471-4,4469221.0,5121010300.0,2023-08-21 13:51,1,22000.0,보통맛(순살),,38.20139,128.58763
f_f001192,2306040002,1,0,0,0,3,,본가할매김밥,통영해안로 231-1,,,,,3,22000.0,,4822010200.0,46.3144754,11.0480288
f_f000603,2305190003,2,0,0,1,3,6138301773.0,산청군로컬푸드행복장터(상),경남 산청군 산청읍 산엔청로 1,경남 산청군 산청읍 옥산리 465-3,3345018.0,4886025022.0,2023-05-19 14:16,1,22000.0,생표고버섯;생 목이버섯;이연옥)알뜰사과;시골)곶감10개입,,35.4212077,127.8790147
f_f000603,2305170003,2,2,2,1,3,1268167791.0,특산물,경남 거제시 동부면 거제중앙로 288,경남 거제시 동부면 구천리 953-2,3337005.0,4831032023.0,2023-05-17 11:16,1,25000.0,황태껍질튀각;밥에넣는톳;꽃보다오징어(통),,0.0,0.0
f_f011530,2308290008,2,0,0,1,2,2270575440.0,만석닭강정,강원특별자치도 속초시 청초호반로 72,강원특별자치도 속초시 조양동 1549-2,3223018.0,5121010800.0,2023-08-29 17:22,1,26000.0,보통맛(순살);갯배;콜라,,38.18382,128.58239
f_f002595,2306060003,3,5,5,1,2,6121324896.0,장승포외도유람선(거제아일랜드호),경남 거제시 장승로 138,경남 거제시 장승포동 685-1,3337039.0,4831010200.0,2023-06-06 13:12,3,26000.0,승선권구입,,34.8653554,128.72702
f_f004660,2308050004,2,4,4,0,3,,후정해수욕장 야영장,후정리,,,,,5,26000.0,,4793037000.0,46.3144754,11.0480288
f_f001468,2305250005,1,0,0,1,2,5940502740.0,봉수삼춘,부산 해운대구 해운대로 631-3,부산 해운대구 우동 552-17,2006010.0,2635010500.0,2023-05-25 18:42,1,27000.0,,,35.1618397,129.1427761
f_f002744,2306050008,1,0,0,1,2,4251401001.0,모얼동,대구 중구 교동4길 44,대구 중구 완전동 5-33,4223013.0,2711012800.0,2023-06-05 19:09,1,29000.0,깐풍통다리덮밥;훈제치즈리조토;엔초비파스타;알배추,,35.87257,128.59947
f_f005104,2307290005,1,0,0,1,4,1322721560.0,달기닭갈비 ,경기 가평군 가평읍 가화로 54,,3000142.0,4182025022.0,2023-07-29 13:54,1,36000.0,닭갈비;우동사리;볶음밥,,46.3144754,11.0480288
f_f001101,2305220006,2,1,1,1,2,6059390920.0,갈릴리대게수산,경북 포항시 북구 죽도시장길 35,,4712591.0,4711311600.0,2023-05-22 20:22,1,60000.0,,,46.3144754,11.0480288
f_f004213,2307140003,1,0,0,1,5,2241484559.0,라오니아,강원특별자치도 횡성군 둔내면 고원로398번길 6,강원특별자치도 횡성군 둔내면 두원리 820,4478107.0,5173033026.0,2023-07-14 11:48,3,89000.0,무한리필;소주;맥주;음료,,37.4992485,128.2413426
f_f001198,2305260002,1,0,0,2,5,2250392361.0,영월광명닭발,강원 영월군 영월읍 하송안길 89,강원 영월군 영월읍 하송리 11-1,4481240.0,4275025022.0,2023-05-26 19:29,1,16000.0,,,37.1778574,128.460506
f_f001187,2305270003,1,0,0,1,3,6040921019.0,일품향,부산 동구 대영로243번길 22,부산 동구 초량동 616-3,4006002.0,2617010100.0,2023-05-27 18:48,1,23000.0,,,35.12144,129.04098
f_f015453,2309240004,3,2,2,1,2,,부산 피아크,부산 영도구 해양로195번길 180,부산 영도구 동삼동 201-6,4184389.0,2620012100.0,2023-09-24 11:08,1,0.0,에바 알머슨 특별전,,35.0751315,129.0728955
f_f000298,2305210005,6,0,0,0,4,,갯배선착장,482-17,,,,,1,1000.0,,4221010300.0,46.3144754,11.0480288
f_f006717,2308120005,2,0,0,1,2,8120601796.0,홀리데이 비지터,대구 중구 경상감영길 184,,4223003.0,2711012100.0,2023-08-12 16:08,1,2500.0,스낵류 초콜릿 카라멜 껌,,46.3144754,11.0480288
f_f000031,2304300003,3,0,0,0,3,,청호도선,482-17,,,,,3,2600.0,,4221010300.0,46.3144754,11.0480288
f_f000464,2305160007,2,9,9,1,1,,엔젤제과,,,,,2023-05-16 19:24,1,2600.0,,,46.3144754,11.0480288
f_f000885,2306030002,1,0,0,0,2,,삼송빵집,591-53 3층 317호,,,,,1,2800.0,,1123010400.0,46.3144754,11.0480288
f_f000874,2305270002,1,0,0,3,2,8135300756.0,크리스마켓,경기 가평군 가평읍 북한강변로 360-71,경기 가평군 가평읍 금대리 55-130,3216019.0,4182025034.0,2023-05-27 19:17,1,3000.0,,,0.0,0.0
f_f002674,2306050005,2,0,0,1,2,5051477772.0,파라다이스(기프트샵),경북 경주시 보문로 74-14,경북 경주시 북군동 185-1,3305021.0,4713014000.0,2023-06-05 13:33,1,3000.0,새먹이,,35.85684,129.26318
f_f002610,2306100004,3,0,0,1,2,2258300029.0,영월군청청령포,강원특별자치도 영월군 영월읍 잔다리길 61-1,강원특별자치도 영월군 영월읍 방절리 산 24,4481201.0,5175025023.0,2023-06-10 14:34,1,3000.0,입장권,,0.0,0.0
f_f002610,2306100004,2,2,2,1,2,2250438229.0,GS25,강원특별자치도 영월군 김삿갓면 영월동로 1121-8,,3227016.0,5175032521.0,2023-06-10 14:07,1,3000.0,농)백산수;제주삼다수,,46.3144754,11.0480288
f_f009704,2308230003,2,1,1,1,1,7492101550.0,블루문앤코,대구 중구 동성로5길 44,대구 중구 삼덕동1가 17-5,4223087.0,2711010500.0,2023-08-23 13:24,3,3000.0,33호행사,,35.86596,128.59744
f_f012114,2308260002,1,1,1,0,1,,영광명품 모시떡,아차산역 5호선 입구 좌판,,,,,5,3000.0,,1121510300.0,46.3144754,11.0480288
f_f014495,2308310006,3,0,0,2,1,2268142289.0,정동심곡바다부채길,강원특별자치도 강릉시 강동면 헌화로 658,강원특별자치도 강릉시 강동면 심곡리 114-2,3220051.0,5115034029.0,2023-08-31 11:08,3,3000.0,입장권,,0.0,0.0
f_f000269,2306030004,3,0,0,1,1,2218212924.0,재단법인 춘천시 문화재단,강원특별자치도 춘천시 신동면 김유정로 1430-14,강원특별자치도 춘천시 신동면 증리 914-1,3218006.0,5111033024.0,2023-06-03 13:07,1,4000.0,입장권,,0.0,0.0
f_f004092,2308030002,6,2,2,0,3,,와촌휴게소(포항방향) 전기차충전소,경북 경산시 강학길 103 (강학리 75-15),,,,,1,4000.0,,4729031000.0,46.3144754,11.0480288
f_f009430,2308240003,3,0,0,1,4,1078657147.0,코레일유통주식회사,서울 영등포구 국회대로 612,서울 영등포구 당산동3가 2-7,2005008.0,1156011300.0,2023-08-24 10:26,1,4000.0,,,37.52616,126.89724
f_f013638,2309150001,1,0,0,0,2,,우리떡집,죽도시장안 (상세주소 검색안됨),,,,,5,4000.0,,4711311600.0,46.3144754,11.0480288
f_f005943,2309010005,6,1,1,1,2,1728600842.0,,경기 성남시 분당구 판교역로 152,경기 성남시 분당구 백현동 537,3179025.0,4113511000.0,2023-09-01 12:33,1,4200.0,,,37.3887318,127.1078551
f_f000605,2305180006,3,0,0,1,2,5058300022.0,경주시청,경북 경주시 임해로 64-19,경북 경주시 구황동 786-1,3305051.0,4713012200.0,2023-05-18 15:14,1,4500.0,입장권,,35.82828,129.22621
f_f001357,2305280005,1,0,0,1,1,8754100391.0,즈므 로스터리,강원특별자치도 강릉시 토성로123번길 7,강원특별자치도 강릉시 홍제동 15-5,4460963.0,5115010100.0,2023-05-28 12:18,1,4500.0,(Ice)아메리카노,,37.75166,128.87068
f_f001357,2305290001,1,0,0,1,1,7597900433.0,PUMPKIN OWL,강원특별자치도 강릉시 강릉대로204번길 8,강원특별자치도 강릉시 임당동 10-8,4460028.0,5115010500.0,2023-05-29 09:31,1,4500.0,에스프레소,,37.75507,128.89277
f_f001333,2305290006,1,0,0,1,2,6838601813.0,순두부젤라또,강원특별자치도 강릉시 경강로 2642,강원특별자치도 강릉시 견소동 190-82,3000145.0,5115011500.0,2023-05-29 16:15,1,4500.0,젤라또,,37.77614,128.93031
f_f001333,2305300004,1,0,0,1,2,3282500819.0,팡파미유성남마늘빵전문점,강원특별자치도 강릉시 금성로13번길 11-1,강원특별자치도 강릉시 성남동 47-5,4460218.0,5115010800.0,2023-05-30 13:48,1,4500.0,,,37.75288,128.89862
f_f003916,2307160001,2,1,1,2,3,1096400371.0,컴포즈커피,경북 경주시 계림로 110-1,경북 경주시 황오동 204-2,3305007.0,4713010500.0,2023-07-16 11:55,1,4500.0,아메리카노(ICE),,35.8424557,129.2221179
f_f011861,2308260006,1,0,0,0,2,,모자호떡,강원 강릉시 금성로 21 중앙시장 185호,,,,,5,4500.0,,4215010800.0,46.3144754,11.0480288
f_f011861,2308260006,1,4,4,0,2,,중화짬뽕빵,강원 강릉시 금성로13번길 17,,,,,5,4500.0,,4215010800.0,46.3144754,11.0480288
f_f000618,2305190005,1,4,4,0,2,,유강엄마손김밥,,,,,,3,5000.0,,4711311600.0,46.3144754,11.0480288
f_f000834,2305200005,1,0,0,1,3,2018121515.0,스타벅스,부산 북구 금곡대로 77,,2132001.0,2632010400.0,2023-05-20 16:53,3,5000.0,I-T)카페 라떼,,46.3144754,11.0480288
f_f000905,2305220004,6,2,2,1,1,,인생네컷 홍천로드점,강원 홍천군 홍천읍 신장대로 75-1,강원 홍천군 홍천읍 신장대리 73-20,3225033.0,4272025022.0,2023-05-22 12:44,1,5000.0,,,37.6900461,127.8845102
f_f001099,2305250002,2,2,2,0,1,,강릉,94-143,,,,,4,5000.0,,4215013800.0,46.3144754,11.0480288
f_f001832,2305270003,6,1,1,2,4,,던킨,경기 양평군 양서면 경강로 954,,3000145.0,4183033027.0,2023-05-27 09:08,1,5000.0,해피먼치킨컵,,46.3144754,11.0480288
f_f000720,2305290001,1,2,2,3,5,8389101912.0,대박이네,강원특별자치도 원주시 지정면 소금산길 42,강원특별자치도 원주시 지정면 간현리 1056-7,4457367.0,5113033021.0,2023-05-29 11:01,1,5000.0,,,0.0,0.0
f_f002040,2306010008,6,0,0,1,2,3562201597.0,인생네컷 홍천로드점,강원특별자치도 홍천군 홍천읍 신장대로 75-1,강원특별자치도 홍천군 홍천읍 신장대리 73-20,3225033.0,5172025022.0,2023-06-01 15:48,1,5000.0,,,37.6900461,127.8845102
f_f001588,2306090004,1,0,0,2,2,3603801108.0,페리아902,강원특별자치도 강릉시 사천면 해안로 902,강원특별자치도 강릉시 사천면 방동리 111-2,3220050.0,5115036027.0,2023-06-09 17:21,1,5000.0,,,0.0,0.0
f_f006237,2308120006,1,0,0,2,2,,주식회사 이월드,대구 달서구 두류공원로 200,대구 달서구 두류동 산 302-11,3007009.0,2729010200.0,2023-08-12 18:23,1,5000.0,,,0.0,0.0
f_f006716,2308180005,1,0,0,2,2,8635600505.0,황남옥수수,경북 경주시 포석로 1085,경북 경주시 황남동 276-4,3305063.0,4713011000.0,2023-08-18 11:06,1,5000.0,옥수수크림 ,,35.8137198,129.2105782891577
f_f012010,2308250007,2,1,1,0,1,,신라 자전거 대여,90-61,,,,,5,5000.0,,4713011000.0,46.3144754,11.0480288
f_f012111,2308250002,3,2,2,1,1,2277600430.0,포토이즘박스,강원특별자치도 삼척시 테마타운길 85,강원특별자치도 삼척시 갈천동 14-24,4472329.0,5123010700.0,2023-08-25 07:58,1,5000.0,,,37.4654,129.16383
f_f012111,2308240011,3,5,5,1,1,2220973009.0,모노맨션,강원특별자치도 삼척시 대학로 30-2,강원특별자치도 삼척시 남양동 17-14,3224004.0,5123012000.0,2023-08-24 18:51,1,5000.0,,,37.43143,129.16218
f_f013183,2308290008,2,2,2,1,2,,포토이즘박스,경북 경주시 포석로 1059-2,,3305063.0,4713011000.0,2023-08-29 15:05,1,5000.0,,,46.3144754,11.0480288
f_f013201,2308260005,3,0,0,0,2,,하루필름 대구동성로,동성로 5길 61 1층,,,,,1,5000.0,,2711010500.0,46.3144754,11.0480288
f_f015464,2309060011,3,0,0,0,2,,인생네컷 황리단길점,276-1,,,,,1,5000.0,,4713011000.0,46.3144754,11.0480288
f_f016612,2309180009,1,0,0,0,2,,이가네떡볶이,16,,,,,5,5000.0,,2611012400.0,46.3144754,11.0480288
f_f010333,2308280002,1,0,0,1,2,,CU,서울 강서구 하늘길 112,서울 강서구 공항동 1373-5,4145490.0,1150010800.0,2023-08-28 09:34,1,5100.0,,,37.5556799,126.79312568532687
f_f000851,2305210006,1,0,0,1,1,2261192898.0,갤러리밥스,강원 강릉시 난설헌로 144,강원 강릉시 포남동 82-7,3220009.0,4215011100.0,2023-05-21 13:19,1,5500.0,초옥이커피 tak,,37.7719,128.90878
f_f001050,2306060004,1,0,0,1,2,2018121515.0,스타벅스,강원특별자치도 강릉시 창해로14번길 40,강원특별자치도 강릉시 견소동 158,4460931.0,5115011500.0,2023-06-06 12:58,3,5500.0,G)카페라떼,,37.77614,128.93031
f_f012146,2308300006,2,1,1,1,2,1223991271.0,초당별곡,강원특별자치도 강릉시 초당순두부길 50,강원특별자치도 강릉시 초당동 272-7,4460947.0,5115011200.0,2023-08-30 13:35,1,5700.0,,,37.79284,128.91253
f_f015784,2309200006,1,0,0,1,1,2211296955.0,커피통,강원특별자치도 춘천시 영서로2753번길 18,강원특별자치도 춘천시 우두동 1056-4,4454500.0,5111011800.0,2023-09-20 16:58,1,5900.0,융드림 커피,,37.9064605,127.7388795
e_e000654,2305200002,1,0,0,1,2,1338122244.0,가평(춘천)휴게소,경기 가평군 설악면 미사리로540번길 51,경기 가평군 설악면 미사리 149-4,4448077.0,4182031026.0,2023-05-20 14:59,1,6000.0,호두잣과자,,0.0,0.0
f_f000578,2305210002,3,3,3,1,4,,고성공룡박물관,경남 고성군 하이면 자란만로 618,,3342029.0,4882033022.0,2023-05-21 13:27,1,6000.0,입장권,,46.3144754,11.0480288
f_f002040,2306010009,6,0,0,1,2,2228301937.0,동해 스카이밸리,강원특별자치도 동해시 천곡로 77,강원특별자치도 동해시 천곡동 806,3221044.0,5117010100.0,2023-06-01 16:00,1,6000.0,자이언트 슬라이드,,37.51996,129.0977
f_f000903,2306070002,3,0,0,1,4,2218212924.0,재단법인 춘천문화재단,강원특별자치도 춘천시 신동면 김유정로 1430-14,,3218006.0,5111033024.0,2023-06-07 13:57,1,6000.0,입장권,,46.3144754,11.0480288
f_f000903,2306080002,3,0,0,1,4,,소양강스카이워크,강원특별자치도 춘천시 영서로 2663,강원특별자치도 춘천시 근화동 8-1,3013022.0,5111011700.0,2023-06-08 13:54,1,6000.0,입장권 ,,37.8805822,127.7123213
f_f003557,2306230010,1,0,0,1,1,3801401033.0,롱블랙,강원특별자치도 강릉시 창해로362번길 12,강원특별자치도 강릉시 강문동 201,4460934.0,5115011300.0,2023-06-23 16:16,1,6000.0,ICE아메리카노,,37.7915662,128.9190019
f_f006359,2308170002,1,2,2,1,2,4072492672.0,부산과학관 카페/스넥,부산 기장군 기장읍 동부산관광6로 59,,3350899.0,2671025031.0,2023-08-17 13:11,1,6000.0,구슬아이스크림,,46.3144754,11.0480288
f_f007144,2308200009,1,3,3,1,2,2261214910.0,강릉수제어묵고로케,강원특별자치도 강릉시 금성로13번길 8,강원특별자치도 강릉시 성남동 53-1,4460218.0,5115010800.0,2023-08-20 18:52,1,6000.0,,,37.75288,128.89862
f_f009505,2308280005,1,0,0,1,2,8673201330.0,플라플라,부산 수영구 민락수변로17번길 52,부산 수영구 민락동 113-40,4214217.0,2650010300.0,2023-08-28 12:51,1,6000.0,L(4가지),,35.1585693,129.127121
f_f010239,2308260012,1,4,4,1,2,5651701294.0,컴포즈커피,울산 중구 번영로 563,울산 중구 남외동 437-6,3169026.0,3111011500.0,2023-08-26 19:22,3,6000.0,아메리카노(I);벨지움생초콜릿라떼(I) ,,35.5686,129.34695
f_f010307,2308240004,2,0,0,1,4,2218142076.0,나미스토어 소나타섬,강원특별자치도 춘천시 남산면 남이섬길 1,,4454832.0,5111040030.0,2023-08-24 09:58,1,6000.0,(팬지)006풍,,46.3144754,11.0480288
f_f010870,2308230005,1,0,0,1,2,6164300985.0,허니바,부산 해운대구 구남로41번길 21-1,부산 해운대구 중동 1394-95,4199009.0,2635010600.0,2023-08-23 13:47,1,6000.0,벌집아이스크림 ,,35.1635017,129.1744702
f_f013507,2308300005,1,0,0,1,2,8152801045.0,오월생,부산 부산진구 전포대로 206-2,,2006005.0,2623010200.0,2023-08-30 16:07,1,6000.0,소다에이드 ,,46.3144754,11.0480288
f_f015528,2309160005,2,1,1,0,4,,센텀 건강약국,센텀남대로35,,,,,1,6000.0,,2635010500.0,46.3144754,11.0480288
f_f000301,2305190004,1,0,0,1,2,6051373889.0,초량밀면,부산 동구 중앙대로 225,부산 동구 초량동 363-2,2000010.0,2617010100.0,2023-05-19 13:28,1,6500.0,,,35.12144,129.04098
f_f000807,2305290004,1,1,1,1,1,4112892096.0,포르타나,부산 해운대구 우동1로20번길 21,부산 해운대구 우동 532-18,4199129.0,2635010500.0,2023-05-29 15:27,1,6800.0,마르게리따 피자,,35.1618397,129.1427761
f_f002788,2306050002,1,0,0,5,2,1078657147.0,스토리웨이,부산 동구 중앙대로196번길 16-8,부산 동구 초량동 1203-5,4181413.0,2617010100.0,2023-06-05 14:53,1,6800.0,계란라면;땡초유부,,35.12144,129.04098
f_f005320,2308020003,3,0,0,1,2,1978102320.0,(주)연필디자인뮤지엄,강원특별자치도 동해시 발한로 183-6,강원특별자치도 동해시 발한동 240-20,3221018.0,5117011100.0,2023-08-02 14:06,1,7000.0,입장권,,37.55131,129.09416
f_f005320,2308020002,3,1,1,1,2,2228204577.0,동해시시설관리공단,강원특별자치도 동해시 덕골길 10,,4463060.0,5117010100.0,2023-08-02 12:04,1,7000.0,천곡동굴 입장권,,46.3144754,11.0480288
f_f013505,2308310002,1,0,0,1,2,1078657147.0,스토리웨이,서울 용산구 청파로89길 31,서울 용산구 서계동 7,4106392.0,1117010800.0,2023-08-31 08:47,1,7000.0,꼬치어묵,,37.55234,126.96595
f_f013505,2308310011,2,0,0,1,2,1274737281.0,POSTCARD OFFICE,강원특별자치도 강릉시 화부산로40번길 29,강원특별자치도 강릉시 교동 1984,4461063.0,5115011000.0,2023-08-31 17:51,1,7000.0,PCO-엽서-데이지 SALAD RECIPE;PCO-엽서-강릉여행 강문해변 Stamp;PCO-엽서-강릉여행 강릉해변 Stamp;하루몽-엽서-티비 장난감;하루몽-엽서-picnic,,37.76473,128.89012
f_f000890,2305260002,1,0,0,1,2,5118504143.0,문경(창원)휴게소,경북 문경시 중부내륙고속도로 173,경북 문경시 유곡동 460-10,1000020.0,4728010800.0,2023-05-26 15:59,1,8000.0,호두;AR왕소세지,,36.62295,128.15762
f_f000951,2305270007,1,2,2,0,2,,초가카페,수도리 229-2,,,,,5,8000.0,,4721033000.0,46.3144754,11.0480288
f_f008187,2308170006,1,0,0,1,2,1860101708.0,카페동화,강원특별자치도 강릉시 초당순두부길77번길 15,강원특별자치도 강릉시 초당동 309-1,4460952.0,5115011200.0,2023-08-17 15:41,1,8000.0,,,37.79284,128.91253
f_f012757,2309090006,1,0,0,1,1,3192801004.0,장흥김밥,강원특별자치도 속초시 중앙로147번길 16,강원특별자치도 속초시 중앙동 471-4,4469221.0,5121010300.0,2023-09-09 13:24,1,8000.0,장흥김밥 ,,38.20139,128.58763
f_f015453,2309240006,3,2,2,1,2,6178212523.0,부산관광공사(태종대),부산 영도구 전망로 24,부산 영도구 동삼동 산 19-2,3128019.0,2620012100.0,2023-09-24 14:19,1,8000.0,탑승권,,0.0,0.0
f_f002103,2305290002,1,2,2,0,2,,스타벅스 포항시청점,1005-1,,,,,4,9000.0,,4711111600.0,46.3144754,11.0480288
f_f014698,2309070007,1,0,0,1,2,5212600792.0,생그레,강원특별자치도 춘천시 소양정길 28-1,강원특별자치도 춘천시 소양로1가 92-50,4454422.0,5111011300.0,2023-09-07 14:23,1,9000.0,,,37.8917301,127.7278115
f_f000523,2305190007,1,0,0,1,1,1590601356.0,황남식당,경북 경주시 포석로1050번길 39-14,경북 경주시 황남동 211-4,4716228.0,4713011000.0,2023-05-19 19:37,1,10000.0,,,35.8137198,129.2105782891577
f_f000459,2305270004,3,0,0,1,4,2258300029.0,영월군청 청령포,강원 영월군 영월읍 잔다리길 61-1,강원 영월군 영월읍 방절리 산 24,4481201.0,4275025023.0,2023-05-27 15:10,1,10000.0,입장권,,0.0,0.0
f_f000713,2305270006,1,0,0,1,1,8508500789.0,밀양순대돼지국밥,부산 해운대구 구남로 28,부산 해운대구 우동 1317,3132002.0,2635010500.0,2023-05-27 20:36,1,10000.0,,,35.1618397,129.1427761
f_f000459,2305280002,1,1,1,1,4,2258262974.0,대한불교조계종 법흥사,강원 영월군 무릉도원면 무릉법흥로 1352,,3227009.0,4275038022.0,2023-05-28 16:19,1,10000.0,매실차;원두커피,,46.3144754,11.0480288
f_f000281,2306020004,3,0,0,1,1,,안동하회마을,경북 안동시 풍천면 전서로 186,경북 안동시 풍천면 하회리 256,3307034.0,4717034033.0,2023-06-02 14:47,3,10000.0,관람권,,0.0,0.0
f_f001203,2306030002,1,0,0,1,1,7703500611.0,라이트커피,부산 부산진구 전포대로186번길 36,부산 부산진구 전포동 354-28,4187659.0,2623010200.0,2023-06-03 14:38,1,10000.0,오렌지에이드;아메리카노-아이스,,35.1572828,129.0745022
f_f000281,2306030005,2,0,0,1,1,5824100510.0,명인박재서안동소주직염점,경북 안동시 대안로 135-1,,3307014.0,4717011600.0,2023-06-03 13:34,1,10000.0,,,46.3144754,11.0480288
